age_month_bin,vaers_infant_deaths,pct_of_vaers_infant_deaths,background_sids_anchor,caveat
0-1mo,,3.0,~7-10% background <1mo,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
1-2mo,,7.0,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
2-3mo,,44.0,SIDS peak 2-3mo,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
3-4mo,,19.4,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
4-5mo,,11.1,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
5-6mo,,1.3,~90-95% background SIDS before 6mo,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
6-7mo,,7.4,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
7-8mo,,2.6,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
8-9mo,,1.1,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
9-10mo,,2.0,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
10-11mo,,1.0,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
11-12mo,,0.2,,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
